-0.05,0.01,-0.00,0.15,0.08,-0.03,0.04,-0.02,0.19,N/A,-0.02,0.00,N/A,0.08,0.04,0.07,0.04,0.04,0.21,0.04,0.15,0.05,-0.04,-0.00,0.06,N/A,0.14,N/A,-0.02,0.24,0.10,1,N/A,0.01,-0.01,N/A,N/A,-0.01,-0.01,0.05,-0.02,N/A,0.19,0.12,0.16,-0.05,0.20,N/A,0.02,0.07,0.07,0.11,0.17,N/A,-0.03,0.21,-0.00,N/A,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.05,0.11,0.03,0.04,-0.02,0.11,0.02,0.01,N/A,0.13,-0.05,N/A,0.04,0.05,0.06,0.10,0.02,0.02,-0.05,0.17,0.05,0.11,-0.01,0.06,N/A,0.02,N/A,-0.04,0.04,0.03,0.01,N/A,1,-0.07,N/A,N/A,-0.02,-0.05,-0.03,0.13,N/A,0.09,-0.01,0.07,0.08,0.08,N/A,0.01,-0.01,0.05,0.07,0.15,N/A,0.10,0.12,-0.01,N/A,0.12
-0.03,0.03,0.05,0.15,0.14,0.01,0.08,0.01,0.02,N/A,0.04,-0.02,N/A,0.01,0.02,0.03,0.08,0.02,-0.02,0.09,0.05,0.03,0.05,-0.01,0.03,N/A,0.00,N/A,0.54,0.17,0.11,-0.01,N/A,-0.07,1,N/A,N/A,0.02,0.06,-0.01,0.03,N/A,0.10,0.06,0.21,0.07,0.15,N/A,-0.01,0.03,0.03,0.14,0.12,N/A,0.01,0.11,-0.01,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.01,-0.02,0.09,0.00,0.01,-0.09,0.02,0.02,N/A,0.04,0.04,N/A,-0.08,0.02,0.06,0.03,0.04,0.02,-0.03,-0.03,0.04,0.02,0.02,-0.01,N/A,0.10,N/A,0.08,0.10,0.19,-0.01,N/A,-0.02,0.02,N/A,N/A,1,0.04,0.07,0.04,N/A,0.05,-0.02,0.08,-0.01,0.04,N/A,0.02,-0.03,0.04,0.05,-0.00,N/A,0.06,0.09,0.02,N/A,0.12
0.05,0.05,0.05,0.10,0.22,0.02,0.03,-0.00,-0.01,N/A,0.04,-0.04,N/A,0.06,0.03,0.05,0.09,-0.05,0.06,0.30,0.02,0.07,0.05,-0.05,0.05,N/A,0.05,N/A,0.06,0.17,0.09,-0.01,N/A,-0.05,0.06,N/A,N/A,0.04,1,0.05,0.02,N/A,0.04,0.06,0.01,0.03,0.10,N/A,0.01,0.02,0.01,0.11,0.08,N/A,-0.01,0.10,-0.05,N/A,0.05
0.02,0.06,0.04,0.14,0.03,0.05,0.01,0.04,0.08,N/A,0.04,0.00,N/A,0.02,0.19,0.05,0.11,0.08,0.12,-0.04,0.06,-0.04,0.05,-0.04,0.04,N/A,0.13,N/A,0.03,0.14,0.15,0.05,N/A,-0.03,-0.01,N/A,N/A,0.07,0.05,1,0.02,N/A,0.13,0.16,0.11,0.01,0.13,N/A,0.01,0.12,0.04,0.15,0.24,N/A,-0.03,0.22,-0.04,N/A,0.18
-0.03,0.08,0.04,0.09,0.05,-0.01,-0.00,-0.01,0.00,N/A,0.90,0.01,N/A,-0.02,-0.03,0.02,0.07,0.09,0.01,-0.06,0.01,0.03,0.00,-0.00,-0.00,N/A,0.02,N/A,0.11,0.10,0.03,-0.02,N/A,0.13,0.03,N/A,N/A,0.04,0.02,0.02,1,N/A,0.03,0.09,0.06,0.07,0.07,N/A,0.13,0.08,0.00,0.07,0.05,N/A,0.04,0.10,-0.00,N/A,0.09
