0.91,0.74,0.71,0.93,0.92,0.87,0.90,0.29,0.66,0.51,0.66,0.43,0.89,0.07,0.83,0.68,0.37,0.18,0.64,0.82,0.89,0.39,0.39,0.89,1,0.29,0.92,0.44,0.10,0.85,0.55,0.64,0.26,0.89,0.96,0.52,0.91,0.87,0.92,0.88,0.18,0.90,0.89,0.91
0.33,0.35,0.39,0.32,0.32,0.34,0.29,0.25,0.17,0.14,0.22,0.08,0.27,0.01,0.28,0.18,0.32,0.27,0.27,0.29,0.35,0.38,0.15,0.34,0.29,1,0.32,0.27,0.01,0.31,0.31,0.29,0.04,0.29,0.31,0.22,0.32,0.29,0.31,0.31,0.12,0.33,0.29,0.28
0.90,0.71,0.73,0.91,0.90,0.87,0.89,0.34,0.61,0.46,0.64,0.41,0.85,0.08,0.84,0.65,0.44,0.16,0.62,0.82,0.88,0.41,0.39,0.88,0.92,0.32,1,0.45,0.13,0.86,0.56,0.55,0.29,0.88,0.94,0.51,0.91,0.88,0.91,0.89,0.23,0.89,0.87,0.79
0.55,0.44,0.43,0.47,0.59,0.61,0.41,0.22,0.42,0.26,0.38,0.21,0.41,0.02,0.46,0.34,0.21,0.24,0.30,0.44,0.46,0.37,0.19,0.46,0.44,0.27,0.45,1,0.03,0.49,0.54,0.35,0.18,0.42,0.46,0.33,0.43,0.44,0.45,0.42,0.26,0.44,0.43,0.47
0.07,0.10,0.08,0.09,0.08,0.10,0.08,0.02,0.01,0.01,0.03,0.02,0.07,0.01,0.07,-0.00,0.10,0.02,0.11,0.12,0.08,0.05,0.13,0.10,0.10,0.01,0.13,0.03,1,0.09,0.05,0.14,-0.01,0.07,0.09,0.03,0.07,0.10,0.08,0.14,-0.05,0.08,0.07,0.10
0.89,0.78,0.80,0.89,0.89,0.85,0.85,0.33,0.60,0.47,0.75,0.34,0.83,0.10,0.80,0.63,0.44,0.19,0.56,0.79,0.87,0.51,0.40,0.87,0.85,0.31,0.86,0.49,0.09,1,0.67,0.69,0.25,0.83,0.88,0.48,0.86,0.84,0.86,0.84,0.24,0.86,0.82,0.82
0.58,0.77,0.78,0.55,0.58,0.59,0.56,0.47,0.40,0.34,0.61,0.27,0.51,0.05,0.52,0.39,0.46,0.23,0.38,0.51,0.59,0.62,0.33,0.59,0.55,0.31,0.56,0.54,0.05,0.67,1,0.76,0.09,0.49,0.54,0.32,0.52,0.52,0.52,0.52,0.22,0.56,0.51,0.60
0.58,0.87,0.79,0.58,0.56,0.59,0.56,0.32,0.42,0.37,0.67,0.28,0.55,0.05,0.52,0.47,0.35,0.24,0.42,0.55,0.62,0.50,0.33,0.64,0.64,0.29,0.55,0.35,0.14,0.69,0.76,1,0.09,0.51,0.57,0.36,0.52,0.55,0.53,0.52,0.14,0.55,0.52,0.75
0.27,0.15,0.17,0.27,0.27,0.29,0.26,0.07,0.27,0.10,0.16,0.04,0.26,0.02,0.23,0.19,0.10,-0.01,0.14,0.30,0.25,0.04,0.10,0.24,0.26,0.04,0.29,0.18,-0.01,0.25,0.09,0.09,1,0.25,0.28,0.18,0.30,0.28,0.27,0.24,0.06,0.25,0.26,0.21
0.91,0.65,0.67,0.94,0.91,0.86,0.91,0.32,0.62,0.44,0.60,0.39,0.87,0.10,0.86,0.62,0.44,0.12,0.56,0.78,0.90,0.38,0.34,0.90,0.89,0.29,0.88,0.42,0.07,0.83,0.49,0.51,0.25,1,0.92,0.46,0.91,0.85,0.96,0.86,0.18,0.90,0.91,0.81
0.96,0.71,0.73,0.98,0.97,0.90,0.92,0.31,0.67,0.50,0.65,0.42,0.92,0.10,0.87,0.69,0.40,0.15,0.63,0.85,0.93,0.42,0.38,0.93,0.96,0.31,0.94,0.46,0.09,0.88,0.54,0.57,0.28,0.92,1,0.51,0.96,0.91,0.97,0.93,0.20,0.96,0.92,0.86
0.48,0.42,0.39,0.51,0.50,0.55,0.45,0.16,0.40,0.28,0.28,0.28,0.47,-0.00,0.44,0.45,0.22,0.11,0.44,0.48,0.51,0.21,0.23,0.49,0.52,0.22,0.51,0.33,0.03,0.48,0.32,0.36,0.18,0.46,0.51,1,0.48,0.51,0.48,0.49,0.21,0.47,0.49,0.54
0.94,0.68,0.71,0.96,0.95,0.89,0.91,0.34,0.65,0.48,0.63,0.40,0.91,0.10,0.86,0.68,0.41,0.13,0.57,0.83,0.90,0.39,0.35,0.91,0.91,0.32,0.91,0.43,0.07,0.86,0.52,0.52,0.30,0.91,0.96,0.48,1,0.90,0.96,0.92,0.21,0.94,0.90,0.81
0.90,0.69,0.70,0.92,0.91,0.92,0.86,0.33,0.63,0.50,0.60,0.39,0.85,0.08,0.83,0.63,0.43,0.16,0.58,0.81,0.89,0.37,0.37,0.87,0.87,0.29,0.88,0.44,0.10,0.84,0.52,0.55,0.28,0.85,0.91,0.51,0.90,1,0.90,0.87,0.18,0.88,0.84,0.81
0.96,0.68,0.71,0.98,0.95,0.90,0.93,0.33,0.63,0.47,0.63,0.41,0.91,0.10,0.90,0.66,0.42,0.14,0.59,0.82,0.94,0.40,0.35,0.94,0.92,0.31,0.91,0.45,0.08,0.86,0.52,0.53,0.27,0.96,0.97,0.48,0.96,0.90,1,0.91,0.19,0.94,0.95,0.84
0.90,0.66,0.69,0.92,0.91,0.85,0.88,0.29,0.60,0.50,0.62,0.37,0.85,0.11,0.81,0.64,0.38,0.13,0.57,0.82,0.87,0.42,0.37,0.87,0.88,0.31,0.89,0.42,0.14,0.84,0.52,0.52,0.24,0.86,0.93,0.49,0.92,0.87,0.91,1,0.20,0.91,0.87,0.80
0.21,0.18,0.21,0.21,0.23,0.25,0.19,0.05,0.15,0.10,0.16,0.04,0.17,-0.02,0.30,0.11,0.19,0.05,0.15,0.23,0.19,0.23,0.08,0.20,0.18,0.12,0.23,0.26,-0.05,0.24,0.22,0.14,0.06,0.18,0.20,0.21,0.21,0.18,0.19,0.20,1,0.20,0.18,0.17
0.92,0.71,0.74,0.95,0.96,0.86,0.90,0.35,0.64,0.49,0.63,0.39,0.89,0.10,0.85,0.65,0.43,0.15,0.60,0.80,0.90,0.44,0.38,0.89,0.90,0.33,0.89,0.44,0.08,0.86,0.56,0.55,0.25,0.90,0.96,0.47,0.94,0.88,0.94,0.91,0.20,1,0.89,0.82
0.90,0.66,0.68,0.93,0.90,0.85,0.89,0.31,0.61,0.45,0.59,0.43,0.86,0.09,0.85,0.63,0.38,0.14,0.54,0.79,0.90,0.41,0.37,0.90,0.89,0.29,0.87,0.43,0.07,0.82,0.51,0.52,0.26,0.91,0.92,0.49,0.90,0.84,0.95,0.87,0.18,0.89,1,0.82
0.85,0.79,0.72,0.88,0.85,0.84,0.80,0.28,0.67,0.53,0.67,0.44,0.83,0.07,0.77,0.70,0.35,0.19,0.57,0.79,0.88,0.41,0.37,0.87,0.91,0.28,0.79,0.47,0.10,0.82,0.60,0.75,0.21,0.81,0.86,0.54,0.81,0.81,0.84,0.80,0.17,0.82,0.82,1
