N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.04,0.13,N/A,0.36,-0.03,0.04,N/A,0.10,0.26,0.17,0.13,0.14,0.07,N/A,0.11,0.12,0.01,N/A,0.22,0.08,N/A,0.44,0.23,0.10,0.17,0.05,0.19,0.13,N/A,0.07,0.11,N/A,0.05,N/A,1,0.10,0.09,0.14,0.06,0.23,N/A,0.17,0.20,0.09,N/A,0.02
0.09,0.12,0.14,N/A,0.26,0.02,0.00,N/A,0.07,0.15,0.11,0.08,0.04,0.08,N/A,0.00,0.01,0.07,N/A,0.13,0.22,N/A,0.06,0.23,0.06,0.20,0.04,0.18,0.05,N/A,0.09,0.12,N/A,0.14,N/A,0.10,1,0.05,0.16,0.05,0.14,N/A,0.15,0.24,0.13,N/A,0.25
0.07,-0.00,0.08,N/A,0.07,0.05,-0.01,N/A,0.03,0.09,0.07,-0.00,0.06,0.02,N/A,-0.02,-0.01,0.02,N/A,0.03,0.06,N/A,0.04,0.08,0.02,-0.03,0.06,0.08,-0.04,N/A,-0.03,0.21,N/A,-0.04,N/A,0.09,0.05,1,-0.02,0.01,0.15,N/A,0.11,0.05,-0.04,N/A,0.02
0.09,0.17,0.24,N/A,0.21,0.07,0.03,N/A,0.15,0.24,0.29,0.25,0.00,0.22,N/A,0.07,0.10,0.06,N/A,0.06,0.09,N/A,0.17,0.30,0.11,0.15,0.06,0.21,0.09,N/A,0.28,0.27,N/A,0.22,N/A,0.14,0.16,-0.02,1,0.10,0.29,N/A,0.15,0.37,0.25,N/A,0.26
0.04,0.12,0.04,N/A,0.12,-0.00,0.04,N/A,0.07,0.10,0.14,0.03,0.07,0.02,N/A,0.02,0.06,-0.00,N/A,0.01,0.02,N/A,0.15,0.56,0.01,0.03,0.05,0.14,-0.01,N/A,0.05,0.27,N/A,0.12,N/A,0.06,0.05,0.01,0.10,1,0.02,N/A,0.06,0.09,0.03,N/A,0.15
0.13,0.10,0.45,N/A,0.18,0.32,0.06,N/A,0.10,0.27,0.29,0.31,0.06,0.26,N/A,0.03,0.18,0.07,N/A,0.13,0.14,N/A,0.13,0.18,0.35,0.04,0.11,0.11,0.08,N/A,0.15,0.31,N/A,0.12,N/A,0.23,0.14,0.15,0.29,0.02,1,N/A,0.09,0.21,0.02,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.16,0.22,N/A,0.23,-0.00,-0.02,N/A,0.06,0.10,0.15,0.01,0.10,0.04,N/A,0.01,0.05,0.17,N/A,-0.01,0.07,N/A,0.32,0.21,0.03,0.01,0.10,0.39,0.02,N/A,0.11,0.02,N/A,0.03,N/A,0.17,0.15,0.11,0.15,0.06,0.09,N/A,1,0.10,-0.02,N/A,0.08
-0.05,0.06,0.16,N/A,0.43,0.14,-0.03,N/A,0.13,0.19,0.15,0.07,0.15,0.06,N/A,0.02,0.07,0.07,N/A,0.24,0.04,N/A,0.08,0.23,0.07,0.19,0.06,0.12,0.26,N/A,0.14,0.16,N/A,0.15,N/A,0.20,0.24,0.05,0.37,0.09,0.21,N/A,0.10,1,0.16,N/A,0.14
0.05,0.01,0.01,N/A,0.10,-0.03,0.09,N/A,0.01,0.15,0.11,0.10,0.01,0.20,N/A,0.08,0.16,-0.02,N/A,0.03,0.01,N/A,0.07,0.05,0.03,0.32,0.05,-0.05,-0.07,N/A,-0.01,0.08,N/A,0.18,N/A,0.09,0.13,-0.04,0.25,0.03,0.02,N/A,-0.02,0.16,1,N/A,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,0.11,0.02,N/A,0.14,0.01,0.03,N/A,0.17,0.05,0.05,0.02,0.03,-0.03,N/A,0.14,0.02,0.01,N/A,0.07,0.03,N/A,0.15,0.34,0.06,0.02,0.01,0.16,-0.01,N/A,0.06,0.03,N/A,0.02,N/A,0.02,0.25,0.02,0.26,0.15,0.04,N/A,0.08,0.14,-0.00,N/A,1
