0.15,0.38,N/A,N/A,0.18,0.78,0.09,0.20,N/A,0.64,0.73,0.19,0.25,0.08,N/A,0.24,0.15,0.17,0.12,N/A,N/A,0.29,0.15,N/A,0.15,N/A,N/A,N/A,0.90,N/A,0.15,0.78,0.05,0.33,N/A,0.85,1,N/A,0.17,0.69,0.05,0.02,0.22,0.32,0.76,N/A,0.95,N/A,0.12,N/A,0.77,N/A,0.69,0.73,0.30,N/A,0.02,0.57,0.15,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.01,N/A,N/A,0.09,0.14,0.05,0.09,N/A,0.16,0.18,0.14,0.07,0.04,N/A,-0.03,-0.07,-0.09,-0.04,N/A,N/A,0.00,0.02,N/A,0.08,N/A,N/A,N/A,0.16,N/A,0.02,0.19,-0.03,0.04,N/A,0.13,0.17,N/A,1,0.16,0.08,-0.13,0.06,-0.00,0.13,N/A,0.15,N/A,0.05,N/A,0.08,N/A,0.16,0.09,0.09,N/A,-0.13,0.15,0.08,N/A,N/A,N/A,N/A,N/A
0.14,0.38,N/A,N/A,0.27,0.55,0.04,0.25,N/A,0.67,0.75,0.18,0.21,0.10,N/A,0.32,0.12,0.18,0.09,N/A,N/A,0.28,0.11,N/A,0.24,N/A,N/A,N/A,0.68,N/A,0.11,0.84,0.08,0.38,N/A,0.62,0.69,N/A,0.16,1,0.05,0.03,0.29,0.42,0.35,N/A,0.67,N/A,0.16,N/A,0.27,N/A,1.00,0.59,0.48,N/A,0.03,0.65,0.10,N/A,N/A,N/A,N/A,N/A
-0.01,0.05,N/A,N/A,0.03,0.04,0.05,0.01,N/A,0.07,0.05,0.05,0.62,-0.08,N/A,0.03,0.08,-0.11,0.00,N/A,N/A,-0.03,-0.01,N/A,0.01,N/A,N/A,N/A,0.04,N/A,-0.01,0.05,0.30,0.02,N/A,0.03,0.05,N/A,0.08,0.05,1,0.06,0.00,0.09,0.02,N/A,0.04,N/A,0.34,N/A,0.02,N/A,0.05,0.02,0.15,N/A,0.06,0.02,-0.02,N/A,N/A,N/A,N/A,N/A
0.05,0.11,N/A,N/A,-0.11,-0.02,0.01,0.05,N/A,0.06,0.08,0.00,0.08,-0.04,N/A,-0.02,0.08,0.14,0.05,N/A,N/A,0.14,-0.01,N/A,-0.00,N/A,N/A,N/A,0.03,N/A,-0.01,0.07,0.00,0.05,N/A,0.03,0.02,N/A,-0.13,0.03,0.06,1,0.05,0.11,-0.05,N/A,0.02,N/A,-0.05,N/A,-0.04,N/A,0.03,0.10,0.01,N/A,1.00,0.01,0.04,N/A,N/A,N/A,N/A,N/A
0.03,0.16,N/A,N/A,0.06,0.15,0.08,0.13,N/A,0.24,0.36,-0.01,0.05,0.03,N/A,0.02,0.04,0.09,-0.01,N/A,N/A,0.16,0.05,N/A,0.10,N/A,N/A,N/A,0.57,N/A,0.05,0.33,-0.00,0.21,N/A,0.18,0.22,N/A,0.06,0.29,0.00,0.05,1,0.12,0.05,N/A,0.21,N/A,0.30,N/A,0.02,N/A,0.29,0.20,0.21,N/A,0.05,0.24,0.08,N/A,N/A,N/A,N/A,N/A
0.05,0.26,N/A,N/A,0.11,0.25,0.05,0.12,N/A,0.33,0.41,0.09,0.14,-0.01,N/A,0.19,0.17,0.09,-0.03,N/A,N/A,0.23,0.03,N/A,0.08,N/A,N/A,N/A,0.31,N/A,0.03,0.40,0.01,0.19,N/A,0.27,0.32,N/A,-0.00,0.42,0.09,0.11,0.12,1,0.15,N/A,0.30,N/A,0.13,N/A,0.10,N/A,0.42,0.29,0.28,N/A,0.11,0.33,0.04,N/A,N/A,N/A,N/A,N/A
0.12,0.14,N/A,N/A,0.13,0.73,0.06,0.08,N/A,0.25,0.31,0.20,0.18,0.05,N/A,0.10,0.10,0.09,0.06,N/A,N/A,0.16,0.09,N/A,0.04,N/A,N/A,N/A,0.69,N/A,0.09,0.33,0.09,0.19,N/A,0.67,0.76,N/A,0.13,0.35,0.02,-0.05,0.05,0.15,1,N/A,0.79,N/A,0.00,N/A,0.91,N/A,0.35,0.67,0.12,N/A,-0.05,0.23,0.08,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
