0.20,0.39,0.43,0.38,0.15,0.24,0.33,0.02,0.02,0.07,0.28,0.42,0.19,0.28,0.16,0.27,0.37,0.05,0.16,0.14,0.55,0.07,1,0.10,0.07,0.39,0.51,0.10,N/A,N/A,0.05,0.22,0.05,0.34,0.02,0.54,0.03
0.00,0.12,0.00,0.12,0.03,0.05,0.12,0.00,0.05,0.03,0.09,-0.01,0.02,-0.01,0.02,0.00,0.05,0.08,-0.10,0.08,0.15,0.03,0.10,1,0.07,0.12,0.06,0.10,N/A,N/A,0.03,0.01,0.08,0.19,0.12,0.07,0.12
0.16,0.06,0.08,0.02,0.02,0.03,-0.01,-0.02,0.13,-0.06,0.07,0.01,0.02,0.08,0.04,-0.07,0.13,-0.03,-0.07,0.11,0.08,-0.03,0.07,0.07,1,0.10,0.10,-0.00,N/A,N/A,0.05,0.17,0.12,0.15,0.17,0.11,0.05
0.13,0.20,0.19,0.19,0.06,0.09,0.17,0.05,0.02,0.05,0.06,0.21,0.04,0.21,0.11,0.17,0.17,-0.00,0.06,0.03,0.31,0.00,0.39,0.12,0.10,1,0.22,0.02,N/A,N/A,0.02,0.15,0.05,0.13,0.07,0.24,0.02
0.24,0.57,0.62,0.58,0.15,0.15,0.30,0.02,0.01,0.18,0.29,0.67,0.27,0.23,0.18,0.24,0.37,0.08,0.08,0.12,0.49,0.10,0.51,0.06,0.10,0.22,1,0.14,N/A,N/A,0.05,0.25,0.01,0.32,0.10,0.98,0.03
0.04,0.12,0.06,0.05,0.05,0.01,0.02,0.02,0.02,0.37,0.09,0.10,0.10,0.02,0.01,0.03,0.11,0.06,-0.02,0.07,0.11,-0.01,0.10,0.10,-0.00,0.02,0.14,1,N/A,N/A,0.00,0.03,0.07,0.13,-0.02,0.13,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.06,0.07,0.03,-0.00,0.03,-0.01,-0.01,0.00,-0.02,0.07,0.05,0.03,0.04,0.36,0.02,0.04,0.01,0.02,0.01,0.05,0.08,0.05,0.03,0.05,0.02,0.05,0.00,N/A,N/A,1,0.04,0.02,0.08,0.12,0.05,0.10
0.98,0.17,0.27,0.19,0.08,0.04,0.09,-0.01,0.19,0.04,0.12,0.19,0.10,0.08,0.08,0.01,0.14,-0.06,0.14,0.20,0.24,0.02,0.22,0.01,0.17,0.15,0.25,0.03,N/A,N/A,0.04,1,0.07,0.11,0.00,0.25,0.00
0.06,0.05,0.03,0.02,0.04,0.07,-0.01,-0.00,0.12,0.05,0.10,-0.04,0.01,0.01,0.02,-0.00,0.11,0.03,-0.05,0.09,0.13,-0.09,0.05,0.08,0.12,0.05,0.01,0.07,N/A,N/A,0.02,0.07,1,0.11,0.06,0.01,-0.02
0.11,0.22,0.25,0.18,0.08,0.13,0.10,-0.01,0.05,0.05,0.67,0.22,0.19,0.10,0.09,0.13,0.31,0.06,0.06,0.09,0.29,0.15,0.34,0.19,0.15,0.13,0.32,0.13,N/A,N/A,0.08,0.11,0.11,1,0.06,0.34,0.02
0.00,0.18,0.08,0.04,0.05,0.01,0.04,-0.01,0.02,-0.03,0.07,0.07,0.09,0.11,0.05,-0.05,0.10,-0.01,0.02,0.04,0.08,0.03,0.02,0.12,0.17,0.07,0.10,-0.02,N/A,N/A,0.12,0.00,0.06,0.06,1,0.11,-0.01
0.24,0.60,0.64,0.59,0.15,0.14,0.30,0.03,0.00,0.13,0.30,0.68,0.27,0.25,0.18,0.25,0.36,0.08,0.10,0.11,0.51,0.11,0.54,0.07,0.11,0.24,0.98,0.13,N/A,N/A,0.05,0.25,0.01,0.34,0.11,1,0.04
-0.02,0.03,0.03,0.01,-0.03,0.05,-0.02,0.01,-0.05,0.02,-0.02,-0.01,0.08,0.02,-0.02,-0.01,0.04,-0.06,-0.00,-0.01,0.03,0.01,0.03,0.12,0.05,0.02,0.03,0.12,N/A,N/A,0.10,0.00,-0.02,0.02,-0.01,0.04,1
