N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.38,N/A,0.20,0.22,0.26,0.20,0.20,0.08,0.10,0.05,0.05,0.04,0.10,N/A,0.09,N/A,N/A,0.33,N/A,0.12,0.05,0.22,0.14,0.25,N/A,0.23,0.14,0.19,0.20,N/A,0.04,N/A,1,0.10,0.09,0.14,0.14,0.09,0.09,N/A,0.19,-0.02,N/A,0.14,0.05,N/A,0.31,0.10,0.24,0.05,N/A,0.09,0.14,-0.01,N/A,-0.04,0.29,0.10,N/A,-0.03,0.07,0.15,0.19
0.09,N/A,0.09,0.06,0.09,0.13,0.13,0.09,-0.07,-0.01,-0.02,0.17,0.04,N/A,0.05,N/A,N/A,0.08,N/A,0.07,-0.02,0.01,0.11,0.08,N/A,0.08,0.07,0.01,0.01,N/A,0.06,N/A,0.10,1,0.07,0.05,0.10,0.03,0.07,N/A,-0.02,-0.04,N/A,0.05,0.06,N/A,0.16,0.03,0.01,0.01,N/A,0.04,0.12,-0.01,N/A,-0.06,0.09,0.01,N/A,0.04,0.00,0.05,0.09
0.02,N/A,0.31,0.13,0.22,0.31,0.31,0.23,0.08,0.04,0.06,0.01,0.41,N/A,0.04,N/A,N/A,0.10,N/A,0.30,0.06,0.14,0.22,0.21,N/A,0.38,0.07,0.19,0.10,N/A,0.01,N/A,0.09,0.07,1,0.03,0.31,0.04,-0.04,N/A,0.05,0.00,N/A,0.03,0.29,N/A,0.07,0.24,0.18,0.02,N/A,0.04,0.36,0.05,N/A,0.05,0.25,0.58,N/A,0.02,0.27,0.21,0.02
0.19,N/A,0.16,0.13,0.16,0.12,0.12,0.03,0.07,-0.05,-0.00,0.09,0.04,N/A,0.06,N/A,N/A,0.17,N/A,0.07,-0.00,0.11,0.15,0.14,N/A,0.13,0.08,0.13,0.06,N/A,-0.00,N/A,0.14,0.05,0.03,1,0.14,-0.01,0.27,N/A,-0.02,0.01,N/A,1.00,-0.02,N/A,0.20,0.02,0.13,-0.01,N/A,0.06,0.13,0.01,N/A,0.03,0.18,0.03,N/A,0.03,0.08,0.05,0.08
0.13,N/A,0.74,0.42,0.51,0.50,0.50,0.27,0.23,0.07,0.11,0.13,0.30,N/A,0.14,N/A,N/A,0.13,N/A,0.28,0.11,0.38,0.89,0.47,N/A,0.53,0.24,0.41,0.20,N/A,0.11,N/A,0.14,0.10,0.31,0.14,1,0.21,0.07,N/A,0.13,0.11,N/A,0.14,0.24,N/A,0.15,0.39,0.39,0.14,N/A,0.22,0.91,0.11,N/A,0.11,0.56,0.35,N/A,0.10,0.40,0.15,0.11
0.10,N/A,0.25,0.20,0.29,0.21,0.21,0.08,0.16,0.02,-0.02,0.23,0.11,N/A,0.09,N/A,N/A,0.02,N/A,0.09,-0.02,0.21,0.18,0.28,N/A,0.26,0.10,0.29,0.14,N/A,0.09,N/A,0.09,0.03,0.04,-0.01,0.21,1,-0.04,N/A,0.11,0.00,N/A,-0.01,0.12,N/A,0.08,0.11,0.26,0.02,N/A,0.10,0.20,0.07,N/A,0.05,0.31,0.12,N/A,0.09,0.09,0.15,0.11
0.15,N/A,0.09,0.07,0.07,0.07,0.07,0.06,-0.07,0.02,0.01,0.08,0.09,N/A,-0.05,N/A,N/A,0.30,N/A,0.00,0.01,0.09,0.06,0.06,N/A,0.09,0.03,0.04,0.02,N/A,0.01,N/A,0.09,0.07,-0.04,0.27,0.07,-0.04,1,N/A,0.00,-0.05,N/A,0.27,0.06,N/A,0.15,-0.02,0.07,-0.03,N/A,0.02,0.06,-0.03,N/A,-0.06,0.05,-0.03,N/A,0.04,0.11,0.01,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,0.11,0.17,0.09,0.08,0.08,0.06,0.06,0.07,0.14,0.00,0.10,N/A,0.22,N/A,N/A,0.17,N/A,0.11,0.14,0.12,0.14,0.08,N/A,0.14,0.13,0.11,-0.03,N/A,0.10,N/A,0.19,-0.02,0.05,-0.02,0.13,0.11,0.00,N/A,1,0.00,N/A,-0.02,0.16,N/A,0.06,-0.01,0.14,0.07,N/A,0.13,0.13,-0.00,N/A,-0.01,0.16,0.10,N/A,-0.03,0.05,0.01,0.04
-0.02,N/A,0.17,0.14,0.11,0.21,0.21,0.05,0.11,0.02,-0.00,0.06,0.00,N/A,0.03,N/A,N/A,0.10,N/A,0.20,-0.00,0.10,0.07,0.10,N/A,0.29,0.10,0.13,0.04,N/A,0.01,N/A,-0.02,-0.04,0.00,0.01,0.11,0.00,-0.05,N/A,0.00,1,N/A,0.01,0.18,N/A,-0.01,0.05,0.11,0.22,N/A,0.11,0.11,0.09,N/A,0.13,0.13,0.07,N/A,-0.01,0.02,-0.00,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,N/A,0.16,0.13,0.16,0.12,0.12,0.03,0.07,-0.05,-0.00,0.09,0.04,N/A,0.06,N/A,N/A,0.17,N/A,0.07,-0.00,0.11,0.15,0.14,N/A,0.13,0.08,0.13,0.06,N/A,-0.00,N/A,0.14,0.05,0.03,1.00,0.14,-0.01,0.27,N/A,-0.02,0.01,N/A,1,-0.02,N/A,0.20,0.02,0.13,-0.01,N/A,0.06,0.13,0.01,N/A,0.03,0.18,0.03,N/A,0.03,0.08,0.05,0.08
0.07,N/A,0.23,0.25,0.25,0.33,0.33,0.18,0.09,0.08,0.02,0.09,0.23,N/A,0.19,N/A,N/A,0.12,N/A,0.37,0.02,0.20,0.25,0.23,N/A,0.38,0.14,0.20,0.07,N/A,0.06,N/A,0.05,0.06,0.29,-0.02,0.24,0.12,0.06,N/A,0.16,0.18,N/A,-0.02,1,N/A,0.06,0.28,0.18,0.13,N/A,0.15,0.29,0.10,N/A,0.01,0.30,0.25,N/A,0.05,0.32,0.12,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.29,N/A,0.19,0.20,0.23,0.18,0.18,0.06,0.12,0.04,0.06,0.14,0.05,N/A,0.15,N/A,N/A,0.36,N/A,0.09,0.06,0.19,0.16,0.21,N/A,0.18,0.15,0.20,0.12,N/A,0.05,N/A,0.31,0.16,0.07,0.20,0.15,0.08,0.15,N/A,0.06,-0.01,N/A,0.20,0.06,N/A,1,0.12,0.18,0.12,N/A,0.10,0.14,0.08,N/A,-0.04,0.29,0.03,N/A,0.02,0.06,0.05,0.11
0.04,N/A,0.35,0.31,0.35,0.32,0.32,0.21,0.15,0.09,0.00,0.07,0.25,N/A,0.14,N/A,N/A,0.06,N/A,0.24,0.00,0.27,0.38,0.33,N/A,0.37,0.17,0.27,0.10,N/A,0.10,N/A,0.10,0.03,0.24,0.02,0.39,0.11,-0.02,N/A,-0.01,0.05,N/A,0.02,0.28,N/A,0.12,1,0.28,0.18,N/A,0.16,0.41,0.09,N/A,-0.01,0.39,0.18,N/A,0.10,0.23,0.17,0.04
0.20,N/A,0.50,0.52,0.70,0.46,0.46,0.18,0.38,0.08,0.13,0.13,0.22,N/A,0.18,N/A,N/A,0.20,N/A,0.22,0.13,0.60,0.38,0.67,N/A,0.62,0.30,0.68,0.22,N/A,0.17,N/A,0.24,0.01,0.18,0.13,0.39,0.26,0.07,N/A,0.14,0.11,N/A,0.13,0.18,N/A,0.18,0.28,1,0.24,N/A,0.27,0.39,0.23,N/A,0.03,0.69,0.20,N/A,0.10,0.18,0.21,0.21
